Company,Location,YC Profile Page,Domain Name,YC Batch,Industries
Mecho Autotech Ltd,"Lagos, Nigeria",https://www.ycombinator.com/companies/mecho-autotech-ltd,https://mechoautotech.com/,S21,AUTO COMMERCE
Odiggo,Dubai - United Arab Emirates,https://www.ycombinator.com/companies/odiggo,https://www.odiggo.com/,S21,"ECOMMERCE, MARKETPLACE"
Beau,"Nice, France",https://www.ycombinator.com/companies/beau,https://beau.to/,S21,"B2B, SAAS"
Toku,"Santiago, Santiago Metropolitan Region, Chile",https://www.ycombinator.com/companies/toku,https://trytoku.com/,S21,"SUBSCRIPTIONS, FINTECH"
Safer Management,"Dallas, TX, USA",https://www.ycombinator.com/companies/safer-management,https://www.safermgmt.com/,S21,"ARTIFICAL INTELLIGENCE, MACHINE LEARNING, ELECTION TECH"
Chipax,"Santiago, Santiago Metropolitan Region, Chile",https://www.ycombinator.com/companies/chipax,https://www.chipax.com/,S21,"SAAS, B2B, FINTECH"
Amenli,"Cairo, Cairo Governorate, Egypt",https://www.ycombinator.com/companies/amenli,https://amenli.com/,S21,FINTECH
Pide Directo,"Monterrey, Nuevo Leon, Mexico",https://www.ycombinator.com/companies/pide-directo,http://pidedirecto.mx/,S21,"ECOMMERCE, SAAS, AUTONOMOUS DELIVERY"
Nash,"San Francisco, CA, USA",https://www.ycombinator.com/companies/nash,https://www.usenash.com/,S21,"B2B, MARKETPLACE, DELIVERY"
Payflow,"Barcelona, Spain",https://www.ycombinator.com/companies/payflow,https://www.payflow.es/,S21,"B2B, SAAS, FINTECH"
Ahazou,"São Paulo, State of São Paulo, Brazil",https://www.ycombinator.com/companies/ahazou,https://ahazou.com/,S21,"FINTECH, B2B, SAAS"
Titipku,"Jakarta, Indonesia",https://www.ycombinator.com/companies/titipku,https://titipku.com/,S21,"GROCERY, DELIVERY, MARKETPLACE"
Turion Space,,https://www.ycombinator.com/companies/turion-space,https://turionspace.com/,S21,"SATELLITES, ROBOTICS, SPACE EXPLORATION"
Stepful (formerly Aja),"New York, NY, USA",https://www.ycombinator.com/companies/stepful,http://www.stepful.com/,S21,EDUCATION
Synder,,https://www.ycombinator.com/companies/synder,https://synder.com/,S21,"B2B, SAAS, FINTECH"
Café,"Paris, France",https://www.ycombinator.com/companies/cafe,https://at.cafe/,S21,
OneShop,"Arlington, TX, USA",https://www.ycombinator.com/companies/oneshop,https://tryoneshop.com/,S21,"ECOMMERCE, SAAS"
FirstIgnite,"Traverse City, MI, USA",https://www.ycombinator.com/companies/firstignite,https://firstignite.com/,S21,"SAAS, ARTIFICAL INTELLIGENCE, MARKETPLACE"
LabSimply,"Urbana, IL, USA",https://www.ycombinator.com/companies/labsimply,https://www.labsimply.com/,S21,HARD TECH
Talentdrop,"Atherton, CA, USA",https://www.ycombinator.com/companies/talentdrop,https://www.talentdrop.com/,S21,"MARKETPLACE, RECRUITING"
Stack,"Bengaluru, Karnataka, India",https://www.ycombinator.com/companies/stack,https://stackfinance.co/,S21,FINTECH
GamerPay,"Copenhagen, Denmark",https://www.ycombinator.com/companies/gamerpay,https://gamerpay.gg/,S21,"FINTECH, MARKETPLACE, GAMING"
Sitenna,"Birmingham, UK",https://www.ycombinator.com/companies/sitenna,http://www.sitenna.com/,S21,MARKETPLACE
Luminate Medical,"Galway, Ireland",https://www.ycombinator.com/companies/luminate-medical,http://www.luminatemed.com/,S21,"MEDICAL DEVICE, HARD TECH"
Pactima,"Ottawa, ON, Canada",https://www.ycombinator.com/companies/pactima,https://pactima.com/,S21,"DOCUMENTS, B2B, SAAS"
Adra,Singapore,https://www.ycombinator.com/companies/adra,https://www.adra.ai/,S21,"MEDICAL DEVICE, ARTIFICAL INTELLIGENCE, B2B"
BlackOakTV,"New York, NY, USA",https://www.ycombinator.com/companies/blackoaktv,https://blackoak.tv/,S21,"COMMUNITY, ENTERTAINMENT, SUBSCRIPTIONS"
StandardCode,"San Francisco, CA, USA",https://www.ycombinator.com/companies/standardcode,http://standardcode.io/,S21,"DEVELOPER TOOLS, SECURITY, SAAS"
"SFA Therapeutics, Inc.","Philadelphia, PA, USA",https://www.ycombinator.com/companies/sfa-therapeutics-inc,https://sfatherapeutics.com/,S21,
Spot,"Boston, MA, USA",https://www.ycombinator.com/companies/spot,https://justspot.io/,S21,SAAS
Crew,"Paris, France",https://www.ycombinator.com/companies/crew,https://crew.work/,S21,"SAAS, RECRUITING"
Canopi,"San Francisco, CA, USA",https://www.ycombinator.com/companies/canopi,https://canopi.cash/,S21,"CARBON CAPTURE AND REMOVAL, CRYPTOCURRENCY"
Therify,"New York, NY, USA",https://www.ycombinator.com/companies/therify,https://www.therify.co/,S21,"B2B, MENTAL HEALTH TECH"
Plai,"Los Angeles, CA, USA",https://www.ycombinator.com/companies/plai,https://www.plai.io/,S21,"B2B, ECOMMERCE, SAAS"
